,group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,Granulosa_sq,chr6:112562433-112562934,27.724682,2.5296657,5.5843378718717365e-146,2.731690556783497e-141,0.6144975288303131,0.13357843137254902
1,Granulosa_sq,chr17:8420231-8420732,24.807043,3.208147,7.581595709963993e-124,1.8543445867215431e-119,0.40238879736408567,0.0428921568627451
2,Granulosa_sq,chr18:58828334-58828835,23.452438,2.341442,2.6679007529829955e-109,4.350190037788973e-105,0.5242998352553542,0.12009803921568628
3,Granulosa_sq,chr21:39023231-39023732,21.295227,2.3482018,3.192920754955121e-92,3.9047026142534906e-88,0.46087314662273476,0.09926470588235294
4,Granulosa_sq,chr5:149406492-149406993,20.538692,2.1092677,3.1767972428486285e-86,3.1079878145685275e-82,0.48311367380560133,0.13970588235294118
5,Granulosa_sq,chr2:42906674-42907175,20.126553,2.4150503,1.8253988484739295e-83,1.4882172578466532e-79,0.41227347611202636,0.07720588235294118
6,Granulosa_sq,chr12:130128421-130128922,19.960148,2.566176,4.946695354905821e-83,3.4568213810846866e-79,0.36326194398682043,0.0661764705882353
7,Granulosa_sq,chr14:35336430-35336931,19.70145,1.8306772,3.989969558605111e-79,1.9517734089828622e-75,0.5523064250411862,0.18872549019607843
8,Granulosa_sq,chr11:80239053-80239554,19.556751,2.325099,2.6482246904368923e-79,1.4804200849052138e-75,0.40650741350906094,0.08333333333333333
9,Granulosa_sq,chr3:105792215-105792716,19.498434,2.3796923,2.723752634901348e-79,1.4804200849052138e-75,0.3743822075782537,0.08088235294117647
10,Granulosa_sq,chr2:240251030-240251531,19.424313,1.6287664,1.1730535781930671e-76,5.2165692622245696e-73,0.6149093904448105,0.2549019607843137
11,Granulosa_sq,chr6:154602332-154602833,19.140553,2.297272,2.495441828096472e-76,1.0172460658749594e-72,0.39497528830313017,0.08455882352941177
12,Granulosa_sq,chr19:56949576-56950077,18.997677,2.4400063,1.570065596588742e-75,5.907915291410116e-72,0.35626029654036245,0.06985294117647059
13,Granulosa_sq,chr18:63247809-63248310,18.900026,2.172391,1.6880958079714525e-74,5.898327331324253e-71,0.40403624382207576,0.09803921568627451
14,Granulosa_sq,chr13:53045016-53045517,18.676773,2.456031,3.598912332902181e-73,1.1736532972571732e-69,0.3488467874794069,0.06862745098039216
15,Granulosa_sq,chr12:68365145-68365646,18.556438,1.7236453,2.71755146499193e-71,7.385248056278346e-68,0.5123558484349259,0.19730392156862744
16,Granulosa_sq,chr13:100100093-100100594,18.54204,1.9696851,1.7912815376553853e-71,5.154359939852264e-68,0.45263591433278416,0.12867647058823528
17,Granulosa_sq,chr2:160317297-160317798,18.53343,2.7749543,1.2567898914593967e-72,3.8423994450324563e-69,0.2932454695222405,0.04534313725490196
18,Granulosa_sq,chr1:24735777-24736278,18.436178,2.0478837,1.055106113393525e-70,2.7164539867826876e-67,0.43533772652388797,0.11274509803921569
19,Granulosa_sq,chr7:29770152-29770653,18.42478,1.9166956,1.7919633790161392e-70,4.382873630566624e-67,0.4658154859967051,0.14460784313725492
20,Granulosa_sq,chr10:124063685-124064186,18.415573,1.9300245,2.1127783997438655e-70,4.92146576096527e-67,0.45757825370675453,0.13602941176470587
21,Granulosa_sq,chr11:6319652-6320153,18.21085,1.8690609,6.10858232219063e-69,1.195254085818396e-65,0.4666392092257002,0.14338235294117646
22,Granulosa_sq,chr3:4979005-4979506,18.125778,1.628766,5.494959972474253e-68,9.955442850871225e-65,0.5465403624382208,0.21691176470588236
23,Granulosa_sq,chr2:64403981-64404482,18.11995,2.6141558,1.7407642767264294e-69,3.870589369301216e-66,0.30518945634266886,0.049019607843137254
24,Granulosa_sq,chr5:9284827-9285328,18.07514,2.566336,2.674975628736038e-69,5.689207949168728e-66,0.2990115321252059,0.05759803921568627
25,Granulosa_sq,chr4:156837651-156838152,18.015507,2.2804606,3.394681093835081e-68,6.386831348735795e-65,0.37397034596375617,0.07598039215686274
26,Granulosa_sq,chr11:79852625-79853126,17.990047,2.9382265,5.968273254713282e-69,1.195254085818396e-65,0.2545304777594728,0.03553921568627451
27,Granulosa_sq,chr19:18657699-18658200,17.9456,1.4595737,4.227297423869976e-66,6.670538970433794e-63,0.6396210873146623,0.28921568627450983
28,Granulosa_sq,chr11:43987506-43988007,17.837015,1.7555383,3.1013806327038435e-66,5.057007880332464e-63,0.4847611202635914,0.16176470588235295
29,Granulosa_sq,chr3:132788291-132788792,17.776955,2.4001915,6.836728276051598e-67,1.1944008467129143e-63,0.3228995057660626,0.061274509803921566
30,Granulosa_sq,chr11:130653826-130654327,17.72617,1.9685597,3.06916877986897e-66,5.057007880332464e-63,0.3957990115321252,0.12377450980392157
31,Granulosa_sq,chr6:32113929-32114430,17.674395,1.5919495,1.2662112462572003e-64,1.8217428097989254e-61,0.5547775947281713,0.21446078431372548
32,Granulosa_sq,chr17:40331972-40332473,17.618721,1.8869637,4.760355261857398e-65,7.2769468232586975e-62,0.4382207578253707,0.13602941176470587
33,Granulosa_sq,chr10:124354756-124355257,17.567225,1.8153179,2.038791193725511e-64,2.8494728235277378e-61,0.4699341021416804,0.14460784313725492
34,Granulosa_sq,chr4:183876115-183876616,17.553204,1.8961306,8.619219121378338e-65,1.2776555810923157e-61,0.42174629324546953,0.13357843137254902
35,Granulosa_sq,chr2:148812282-148812783,17.481756,1.8860549,5.655317352198093e-64,7.684476636596502e-61,0.4509884678747941,0.12622549019607843
36,Granulosa_sq,chr8:37545448-37545949,17.164536,1.8130064,6.097997720874347e-62,7.849888276631854e-59,0.44192751235584843,0.1409313725490196
37,Granulosa_sq,chr1:4977661-4978162,17.147459,2.2373297,1.4489110405372358e-62,1.9155778748637828e-59,0.3315485996705107,0.0784313725490196
38,Granulosa_sq,chr15:98896716-98897217,17.075161,1.6091799,6.163741614946293e-61,7.353945087276289e-58,0.5193574958813838,0.18995098039215685
39,Granulosa_sq,chr17:80959477-80959978,16.976671,2.3716242,2.62335706666965e-61,3.2904296828276735e-58,0.3191927512355848,0.06372549019607843
40,Granulosa_sq,chr16:23423379-23423880,16.87797,2.5900629,4.192654397337072e-61,5.127301878863439e-58,0.2623558484349259,0.04656862745098039
41,Granulosa_sq,chr18:22683076-22683577,16.806463,1.970871,1.1144864418671446e-59,1.298031744686074e-56,0.3970345963756178,0.1017156862745098
42,Granulosa_sq,chr3:79846969-79847470,16.740915,2.2632923,1.1909708153001702e-59,1.3548539388846145e-56,0.32948929159802304,0.06862745098039216
43,Granulosa_sq,chr19:51800311-51800812,16.604116,1.7661656,3.966368690407608e-58,4.409610391560658e-55,0.4472817133443163,0.13602941176470587
44,Granulosa_sq,chr9:546800-547301,16.512688,1.7584502,1.2945833006248237e-57,1.4072695848147668e-54,0.4386326194398682,0.13970588235294118
45,Granulosa_sq,chr12:124423128-124423629,16.43719,1.7793216,2.4170080361339196e-57,2.5702778718165858e-54,0.41392092257001645,0.1409313725490196
46,Granulosa_sq,chr11:86459961-86460462,16.381683,1.994101,3.310788292019815e-57,3.4458261889517715e-54,0.3595551894563427,0.09558823529411764
47,Granulosa_sq,chr2:240233479-240233980,16.36502,1.2197098,1.1524009864420323e-55,1.1274399810756978e-52,0.6972817133443163,0.3762254901960784
48,Granulosa_sq,chr10:11713128-11713629,16.291954,1.9095372,1.2250730546242075e-56,1.2484770544385907e-53,0.3731466227347611,0.11397058823529412
49,Granulosa_sq,chr3:188947837-188948338,16.270027,1.2838806,3.530510641872867e-55,3.321192097471059e-52,0.649505766062603,0.32230392156862747
